METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OCCUPANCY,APPLIANCES,LIGHTING,SERVERS,WATER,HEATING,COOLING,PROCESSES,ELECTROMOBILITY,DAY,HOUR
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,1
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,2
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,3
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,4
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,5
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,6
0.0,0.38,0.38,0.0,0.0,OFF,SETPOINT,0.0,0.0,WEEKDAY,7
0.0,0.38,0.38,0.0,0.0,OFF,SETPOINT,0.0,0.0,WEEKDAY,8
0.3,0.68,0.66,0.0,0.12,OFF,SETPOINT,0.0,0.0,WEEKDAY,9
0.3,0.85,0.84,0.0,0.15,OFF,SETPOINT,0.0,0.0,WEEKDAY,10
0.3,0.85,0.84,0.0,0.15,OFF,SETPOINT,0.0,0.0,WEEKDAY,11
0.49,0.85,0.84,0.0,0.35,OFF,SETPOINT,0.0,0.0,WEEKDAY,12
0.49,0.85,0.84,0.0,0.15,OFF,SETPOINT,0.0,0.0,WEEKDAY,13
0.49,0.85,0.84,0.0,0.15,OFF,SETPOINT,0.0,0.0,WEEKDAY,14
0.49,0.85,0.84,0.0,0.15,OFF,SETPOINT,0.0,0.0,WEEKDAY,15
0.49,0.85,0.84,0.0,0.15,OFF,SETPOINT,0.0,0.0,WEEKDAY,16
0.49,0.85,0.84,0.0,0.15,OFF,SETPOINT,0.0,0.0,WEEKDAY,17
0.49,0.55,0.56,0.0,0.12,OFF,SETPOINT,0.0,0.0,WEEKDAY,18
0.3,0.55,0.56,0.0,0.12,OFF,OFF,0.0,0.0,WEEKDAY,19
0.3,0.55,0.56,0.0,0.12,OFF,OFF,0.0,0.0,WEEKDAY,20
0.3,0.55,0.56,0.0,0.12,OFF,OFF,0.0,0.0,WEEKDAY,21
0.06,0.55,0.56,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,22
0.03,0.3,0.3,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,23
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,WEEKDAY,24
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,1
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,2
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,3
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,4
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,5
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,6
0.0,0.2,0.19,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,7
0.0,0.32,0.32,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,8
0.06,0.32,0.32,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,9
0.06,0.42,0.43,0.0,0.03,OFF,SETPOINT,0.0,0.0,SATURDAY,10
0.06,0.42,0.43,0.0,0.03,OFF,SETPOINT,0.0,0.0,SATURDAY,11
0.19,0.42,0.43,0.0,0.13,OFF,SETPOINT,0.0,0.0,SATURDAY,12
0.19,0.42,0.43,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,13
0.19,0.42,0.43,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,14
0.19,0.42,0.43,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,15
0.19,0.42,0.43,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,16
0.19,0.42,0.43,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,17
0.19,0.42,0.43,0.0,0.0,OFF,SETPOINT,0.0,0.0,SATURDAY,18
0.19,0.42,0.43,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,19
0.19,0.42,0.43,0.0,0.44,OFF,OFF,0.0,0.0,SATURDAY,20
0.19,0.42,0.43,0.0,0.2,OFF,OFF,0.0,0.0,SATURDAY,21
0.25,0.42,0.43,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,22
0.03,0.42,0.43,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,23
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SATURDAY,24
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,1
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,2
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,3
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,4
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,5
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,6
0.0,0.2,0.19,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,7
0.0,0.32,0.32,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,8
0.03,0.32,0.32,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,9
0.03,0.32,0.32,0.0,0.03,OFF,SETPOINT,0.0,0.0,SUNDAY,10
0.03,0.32,0.32,0.0,0.03,OFF,SETPOINT,0.0,0.0,SUNDAY,11
0.03,0.32,0.32,0.0,0.07,OFF,SETPOINT,0.0,0.0,SUNDAY,12
0.03,0.5,0.51,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,13
0.22,0.5,0.51,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,14
0.22,0.5,0.51,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,15
0.22,0.5,0.51,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,16
0.22,0.5,0.51,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,17
0.22,0.5,0.51,0.0,0.0,OFF,SETPOINT,0.0,0.0,SUNDAY,18
0.22,0.5,0.51,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,19
0.22,0.5,0.51,0.0,0.44,OFF,OFF,0.0,0.0,SUNDAY,20
0.22,0.5,0.51,0.0,0.2,OFF,OFF,0.0,0.0,SUNDAY,21
0.22,0.5,0.51,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,22
0.06,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,23
0.0,0.2,0.19,0.0,0.0,OFF,OFF,0.0,0.0,SUNDAY,24
