BUILDING,SURFACE,orientation,intersection,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE
B1001,srf0,west,0,363862.08031484176,10143637.748235773,2.5,-0.9448649524867808,0.32746025951579744,-0.0,2.5792686027153446,walls
B1001,srf1,west,0,363862.080314842,10143637.748235773,2.1538873605350943,-0.9448649524867808,0.32746025951579744,-0.0,1.388978650748966,walls
B1001,srf2,west,0,363863.30044937093,10143641.26885338,1.3461126394649123,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786497377754,walls
B1001,srf3,west,0,363863.0189133824,10143640.456499878,1.3461126394649199,-0.9448649524867808,0.32746025951579744,-0.0,2.5792686004594905,walls
B1001,srf4,west,0,363863.95751192345,10143643.164763983,2.8461126394649057,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786478441168,walls
B1001,srf5,west,0,363863.95751192357,10143643.164763983,2.5,-0.9448649524867808,0.32746025951579744,-0.0,2.579268597321132,walls
B1001,srf6,west,0,363863.01891338266,10143640.456499878,3.6538873605350877,-0.9448649524867808,0.32746025951579744,-0.0,2.5792686004594834,walls
B1001,srf7,west,0,363863.30044937035,10143641.26885338,3.65388736053508,-0.9448649524867808,0.32746025951579744,-0.0,1.38897864973778,walls
B1001,srf8,west,0,363872.1081222953,10143599.007478934,2.5,-0.9448430741559003,0.32752338118007396,-0.0,4.097771142224772,walls
B1001,srf9,west,0,363872.10812229506,10143599.007478934,2.1538873605350943,-0.9448430741559003,0.32752338118007396,-0.0,2.2067172942800193,walls
B1001,srf10,west,0,363874.0469648935,10143604.600673521,1.346112639464912,-0.9448430741559003,0.32752338118007396,-0.0,2.206717293333664,walls
B1001,srf11,west,0,363873.5995929409,10143603.310089959,1.3461126394649057,-0.9448430741559003,0.32752338118007396,-0.0,4.097771140636299,walls
B1001,srf12,west,0,363875.09106358746,10143607.612700984,2.8461126394649057,-0.9448430741559003,0.32752338118007396,-0.0,2.2067172927814003,walls
B1001,srf13,west,0,363875.09106358665,10143607.612700984,2.5,-0.9448430741559003,0.32752338118007396,-0.0,4.097771139441924,walls
B1001,srf14,west,0,363873.5995929406,10143603.310089959,3.6538873605350877,-0.9448430741559003,0.32752338118007396,-0.0,4.097771140636301,walls
B1001,srf15,west,0,363874.0469648938,10143604.600673521,3.65388736053508,-0.9448430741559003,0.32752338118007396,-0.0,2.20671729333366,walls
B1001,srf16,west,0,363852.23872023984,10143610.361450877,2.5,-0.944757606300851,0.3277698359164343,-0.0,3.365173419173735,walls
B1001,srf17,west,0,363852.23872023926,10143610.361450877,2.1538873605350943,-0.944757606300851,0.3277698359164343,-0.0,1.8122013466530604,walls
B1001,srf18,west,0,363853.83213552315,10143614.954281103,1.3461126394649123,-0.944757606300851,0.3277698359164343,-0.0,1.812201346419128,walls
B1001,srf19,west,0,363853.46446807706,10143613.894523375,1.3461126394649057,-0.944757606300851,0.3277698359164343,-0.0,3.365173418273492,walls
B1001,srf20,west,0,363854.6902159143,10143617.42759587,2.1538873605350877,-0.944757606300851,0.3277698359164343,-0.0,1.8122013452315786,walls
B1001,srf21,west,0,363854.6902159131,10143617.427595872,2.5,-0.944757606300851,0.3277698359164343,-0.0,3.3651734164768636,walls
B1001,srf22,west,0,363853.46446807706,10143613.894523375,3.6538873605350877,-0.944757606300851,0.3277698359164343,-0.0,3.3651734182734847,walls
B1001,srf23,west,0,363853.8321355228,10143614.954281103,3.6538873605350943,-0.944757606300851,0.3277698359164343,-0.0,1.8122013464191324,walls
B1001,srf24,west,0,363839.52323429467,10143626.196121264,2.5,-0.9448464822369316,0.32751354934490245,-0.0,6.794501429209365,walls
B1001,srf25,west,0,363839.52323429607,10143626.196121262,2.8461126394649123,-0.9448464822369316,0.32751354934490245,-0.0,3.6589509978295394,walls
B1001,srf26,west,0,363842.73792660306,10143635.470213048,1.3461126394649123,-0.9448464822369316,0.32751354934490245,-0.0,3.6589509972104963,walls
B1001,srf27,west,0,363844.4690913903,10143640.464464318,2.1538873605350877,-0.9448464822369316,0.32751354934490245,-0.0,3.6589509964079285,walls
B1001,srf28,west,0,363841.9961628427,10143633.330292791,1.3461126394649057,-0.9448464822369316,0.32751354934490245,-0.0,6.794501427923999,walls
B1001,srf29,west,0,363844.4690913905,10143640.464464318,2.5,-0.9448464822369316,0.32751354934490245,-0.0,6.794501426512308,walls
B1001,srf30,west,0,363841.9961628423,10143633.330292791,3.6538873605350877,-0.9448464822369316,0.32751354934490245,-0.0,6.794501427924007,walls
B1001,srf31,west,0,363842.7379266027,10143635.470213048,3.6538873605350943,-0.9448464822369316,0.32751354934490245,-0.0,3.658950997210505,walls
B1001,srf32,west,0,363862.08031484176,10143637.748235773,5.5,-0.9448649524867808,0.32746025951579744,-0.0,2.5792686027153446,walls
B1001,srf33,west,0,363862.080314842,10143637.748235773,5.153887360535094,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786507489663,walls
B1001,srf34,west,0,363863.30044937093,10143641.26885338,4.346112639464913,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786497377756,walls
B1001,srf35,west,0,363863.0189133824,10143640.456499878,4.34611263946492,-0.9448649524867808,0.32746025951579744,-0.0,2.579268600459491,walls
B1001,srf36,west,0,363863.95751192345,10143643.164763983,5.846112639464906,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786478441168,walls
B1001,srf37,west,0,363863.95751192357,10143643.164763983,5.5,-0.9448649524867808,0.32746025951579744,-0.0,2.579268597321132,walls
B1001,srf38,west,0,363863.01891338266,10143640.456499878,6.653887360535087,-0.9448649524867808,0.32746025951579744,-0.0,2.5792686004594834,walls
B1001,srf39,west,0,363863.30044937035,10143641.26885338,6.653887360535094,-0.9448649524867808,0.32746025951579744,-0.0,1.38897864973778,walls
B1001,srf40,west,0,363872.1081222953,10143599.007478934,5.5,-0.9448430741559003,0.32752338118007396,-0.0,4.097771142224772,walls
B1001,srf41,west,0,363872.10812229506,10143599.007478934,5.153887360535094,-0.9448430741559003,0.32752338118007396,-0.0,2.2067172942800197,walls
B1001,srf42,west,0,363874.0469648935,10143604.600673521,4.346112639464912,-0.9448430741559003,0.32752338118007396,-0.0,2.206717293333664,walls
B1001,srf43,west,0,363873.5995929409,10143603.310089959,4.346112639464906,-0.9448430741559003,0.32752338118007396,-0.0,4.0977711406363,walls
B1001,srf44,west,0,363875.09106358746,10143607.612700984,5.846112639464906,-0.9448430741559003,0.32752338118007396,-0.0,2.2067172927814003,walls
B1001,srf45,west,0,363875.09106358665,10143607.612700984,5.5,-0.9448430741559003,0.32752338118007396,-0.0,4.097771139441924,walls
B1001,srf46,west,0,363873.5995929406,10143603.310089959,6.653887360535088,-0.9448430741559003,0.32752338118007396,-0.0,4.097771140636301,walls
B1001,srf47,west,0,363874.0469648938,10143604.600673521,6.65388736053508,-0.9448430741559003,0.32752338118007396,-0.0,2.20671729333366,walls
B1001,srf48,west,0,363852.23872023984,10143610.361450877,5.5,-0.944757606300851,0.3277698359164343,-0.0,3.365173419173735,walls
B1001,srf49,west,0,363852.23872023926,10143610.361450877,5.153887360535094,-0.944757606300851,0.3277698359164343,-0.0,1.8122013466530604,walls
B1001,srf50,west,0,363853.83213552315,10143614.954281103,4.346112639464912,-0.944757606300851,0.3277698359164343,-0.0,1.8122013464191276,walls
B1001,srf51,west,0,363853.46446807706,10143613.894523375,4.346112639464906,-0.944757606300851,0.3277698359164343,-0.0,3.3651734182734927,walls
B1001,srf52,west,0,363854.6902159137,10143617.427595872,5.153887360535087,-0.944757606300851,0.3277698359164343,-0.0,1.812201345231577,walls
B1001,srf53,west,0,363854.6902159131,10143617.427595872,5.5,-0.944757606300851,0.3277698359164343,-0.0,3.3651734164768636,walls
B1001,srf54,west,0,363853.46446807706,10143613.894523375,6.653887360535087,-0.944757606300851,0.3277698359164343,-0.0,3.3651734182734847,walls
B1001,srf55,west,0,363853.8321355228,10143614.954281103,6.65388736053508,-0.944757606300851,0.3277698359164343,-0.0,1.8122013464191324,walls
B1001,srf56,west,0,363839.52323429467,10143626.196121264,5.5,-0.9448464822369316,0.32751354934490245,-0.0,6.794501429209365,walls
B1001,srf57,west,0,363839.5232342949,10143626.196121264,5.846112639464913,-0.9448464822369316,0.32751354934490245,-0.0,3.658950997829544,walls
B1001,srf58,west,0,363842.73792660306,10143635.470213048,4.346112639464913,-0.9448464822369316,0.32751354934490245,-0.0,3.6589509972104937,walls
B1001,srf59,west,0,363844.46909139026,10143640.464464318,5.153887360535088,-0.9448464822369316,0.32751354934490245,-0.0,3.6589509964079285,walls
B1001,srf60,west,0,363841.9961628427,10143633.330292791,4.346112639464906,-0.9448464822369316,0.32751354934490245,-0.0,6.794501427924003,walls
B1001,srf61,west,0,363844.4690913905,10143640.464464318,5.5,-0.9448464822369316,0.32751354934490245,-0.0,6.794501426512308,walls
B1001,srf62,west,0,363841.9961628423,10143633.330292791,6.653887360535087,-0.9448464822369316,0.32751354934490245,-0.0,6.794501427924007,walls
B1001,srf63,west,0,363842.7379266027,10143635.470213048,6.653887360535094,-0.9448464822369316,0.32751354934490245,-0.0,3.658950997210505,walls
B1001,srf64,west,0,363862.0803148424,10143637.748235773,8.5,-0.9448649524867808,0.32746025951579744,-0.0,2.579268602658189,walls
B1001,srf65,west,0,363862.0803148428,10143637.748235773,8.846112639464913,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786507489632,walls
B1001,srf66,west,0,363863.30044937093,10143641.26885338,7.346112639464913,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786497377756,walls
B1001,srf67,west,0,363863.0189133824,10143640.456499878,7.346112639464906,-0.9448649524867808,0.32746025951579744,-0.0,2.579268600459491,walls
B1001,srf68,west,0,363863.9575119236,10143643.164763983,8.846112639464906,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786478440853,walls
B1001,srf69,west,0,363863.95751192357,10143643.164763983,8.5,-0.9448649524867808,0.32746025951579744,-0.0,2.579268597321132,walls
B1001,srf70,west,0,363863.01891338266,10143640.456499878,9.653887360535087,-0.9448649524867808,0.32746025951579744,-0.0,2.5792686004594807,walls
B1001,srf71,west,0,363863.30044937035,10143641.26885338,9.653887360535094,-0.9448649524867808,0.32746025951579744,-0.0,1.3889786497377796,walls
B1001,srf72,west,0,363872.1081222946,10143599.007478936,8.5,-0.9448430741559003,0.32752338118007396,-0.0,4.097771142224772,walls
B1001,srf73,west,0,363872.10812229506,10143599.007478934,8.846112639464913,-0.9448430741559003,0.32752338118007396,-0.0,2.2067172942800193,walls
B1001,srf74,west,0,363874.0469648935,10143604.600673521,7.346112639464912,-0.9448430741559003,0.32752338118007396,-0.0,2.206717293333664,walls
B1001,srf75,west,0,363873.5995929409,10143603.310089959,7.346112639464906,-0.9448430741559003,0.32752338118007396,-0.0,4.0977711406363,walls
B1001,srf76,west,0,363875.09106358694,10143607.612700984,8.846112639464906,-0.9448430741559003,0.32752338118007396,-0.0,2.2067172928121894,walls
B1001,srf77,west,0,363875.09106358665,10143607.612700984,8.5,-0.9448430741559003,0.32752338118007396,-0.0,4.097771139441924,walls
B1001,srf78,west,0,363873.5995929406,10143603.310089959,9.653887360535089,-0.9448430741559003,0.32752338118007396,-0.0,4.097771140636294,walls
B1001,srf79,west,0,363874.0469648938,10143604.600673521,9.65388736053508,-0.9448430741559003,0.32752338118007396,-0.0,2.206717293333659,walls
B1001,srf80,west,0,363852.23872023984,10143610.361450877,8.5,-0.944757606300851,0.3277698359164343,-0.0,3.3651734191737344,walls
B1001,srf81,west,0,363852.23872023996,10143610.361450877,8.153887360535094,-0.944757606300851,0.3277698359164343,-0.0,1.8122013466530627,walls
B1001,srf82,west,0,363853.83213552315,10143614.954281103,7.346112639464912,-0.944757606300851,0.3277698359164343,-0.0,1.8122013464191276,walls
B1001,srf83,west,0,363853.46446807706,10143613.894523375,7.34611263946492,-0.944757606300851,0.3277698359164343,-0.0,3.3651734182734927,walls
B1001,srf84,west,0,363854.69021591434,10143617.42759587,8.153887360535087,-0.944757606300851,0.3277698359164343,-0.0,1.8122013452315797,walls
B1001,srf85,west,0,363854.6902159137,10143617.427595872,8.5,-0.944757606300851,0.3277698359164343,-0.0,3.3651734164768623,walls
B1001,srf86,west,0,363853.46446807706,10143613.894523375,9.653887360535087,-0.944757606300851,0.3277698359164343,-0.0,3.3651734182734803,walls
B1001,srf87,west,0,363853.8321355228,10143614.954281103,9.65388736053508,-0.944757606300851,0.3277698359164343,-0.0,1.8122013464191302,walls
B1001,srf88,west,0,363839.52323429467,10143626.196121264,8.5,-0.9448464822369316,0.32751354934490245,-0.0,6.794501429209365,walls
B1001,srf89,west,0,363839.5232342961,10143626.196121262,8.846112639464913,-0.9448464822369316,0.32751354934490245,-0.0,3.658950997829545,walls
B1001,srf90,west,0,363842.73792660306,10143635.470213048,7.346112639464913,-0.9448464822369316,0.32751354934490245,-0.0,3.6589509972104937,walls
B1001,srf91,west,0,363844.4690913909,10143640.464464318,8.153887360535087,-0.9448464822369316,0.32751354934490245,-0.0,3.6589509964079285,walls
B1001,srf92,west,0,363841.9961628427,10143633.330292791,7.34611263946492,-0.9448464822369316,0.32751354934490245,-0.0,6.794501427924003,walls
B1001,srf93,west,0,363844.4690913905,10143640.464464318,8.5,-0.9448464822369316,0.32751354934490245,-0.0,6.794501426512308,walls
B1001,srf94,west,0,363841.9961628423,10143633.330292791,9.653887360535087,-0.9448464822369316,0.32751354934490245,-0.0,6.794501427923994,walls
B1001,srf95,west,0,363842.7379266027,10143635.470213048,9.653887360535094,-0.9448464822369316,0.32751354934490245,-0.0,3.658950997210498,walls
B1001,srf96,east,0,363875.04244577466,10143638.749390475,2.5,0.9448365446239139,-0.32754221703948766,-0.0,4.3448010123771095,walls
B1001,srf97,east,0,363875.042445775,10143638.749390475,2.15388736053508,0.9448365446239139,-0.32754221703948766,-0.0,2.3397469506163633,walls
B1001,srf98,east,0,363873.93534101214,10143635.555808138,1.3461126394649057,0.9448365446239139,-0.32754221703948766,-0.0,2.339746950673181,walls
B1001,srf99,east,0,363871.87949907826,10143629.625474617,2.153887360535088,0.9448365446239139,-0.32754221703948766,-0.0,2.339746949194768,walls
B1001,srf100,east,0,363873.46097242733,10143634.187432546,1.3461126394649057,0.9448365446239139,-0.32754221703948766,-0.0,4.344801011895193,walls
B1001,srf101,east,0,363871.87949907896,10143629.625474617,2.5,0.9448365446239139,-0.32754221703948766,-0.0,4.344801009794478,walls
B1001,srf102,east,0,363873.46097242634,10143634.187432546,3.6538873605350877,0.9448365446239139,-0.32754221703948766,-0.0,4.344801011895209,walls
B1001,srf103,east,0,363872.9866038416,10143632.819056954,3.6538873605350943,0.9448365446239139,-0.32754221703948766,-0.0,2.339746950686377,walls
B1001,srf104,east,0,363902.8802219122,10143613.988166211,2.5,0.9448794608314348,-0.3274183936477869,-0.0,9.976797744082264,walls
B1001,srf105,east,0,363902.88022191275,10143613.988166211,2.1538873605350943,0.9448794608314348,-0.3274183936477869,-0.0,5.372670009933056,walls
B1001,srf106,east,0,363898.1612565847,10143600.369953241,1.3461126394649123,0.9448794608314348,-0.3274183936477869,-0.0,5.372670008649874,walls
B1001,srf107,east,0,363895.62001598394,10143593.03632112,2.153887360535088,0.9448794608314348,-0.3274183936477869,-0.0,5.372670008511406,walls
B1001,srf108,east,0,363899.2501189492,10143603.512243666,1.3461126394649057,0.9448794608314348,-0.3274183936477869,-0.0,9.976797742176721,walls
B1001,srf109,east,0,363895.62001598533,10143593.036321118,2.5,0.9448794608314348,-0.3274183936477869,-0.0,9.97679774144229,walls
B1001,srf110,east,0,363899.25011894875,10143603.512243666,3.6538873605350877,0.9448794608314348,-0.3274183936477869,-0.0,9.976797742189916,walls
B1001,srf111,east,0,363898.16125658527,10143600.369953241,3.6538873605350943,0.9448794608314348,-0.3274183936477869,-0.0,5.372670008649876,walls
B1001,srf112,east,0,363864.67975208967,10143611.733607894,2.5,0.9449532110590527,-0.32720548422846685,-0.0,2.5223462211721475,walls
B1001,srf113,east,0,363864.67975208955,10143611.733607896,2.15388736053508,0.9449532110590527,-0.32720548422846685,-0.0,1.3583250101664857,walls
B1001,srf114,east,0,363864.0376903131,10143609.879365325,1.3461126394649199,0.9449532110590527,-0.32720548422846685,-0.0,1.3583250100829827,walls
B1001,srf115,east,0,363863.76258180855,10143609.084865605,1.3461126394649057,0.9449532110590527,-0.32720548422846685,-0.0,2.5223462204991964,walls
B1001,srf116,east,0,363862.8454115256,10143606.436123315,2.153887360535088,0.9449532110590527,-0.32720548422846685,-0.0,1.3583250087600844,walls
B1001,srf117,east,0,363862.8454115256,10143606.436123315,2.5,0.9449532110590527,-0.32720548422846685,-0.0,2.5223462185605063,walls
B1001,srf118,east,0,363863.76258180843,10143609.084865605,3.6538873605350877,0.9449532110590527,-0.32720548422846685,-0.0,2.52234622049919,walls
B1001,srf119,east,0,363863.48747330287,10143608.290365884,3.6538873605350943,0.9449532110590527,-0.32720548422846685,-0.0,1.358325010096165,walls
B1001,srf120,east,0,363875.04244577466,10143638.749390475,5.5,0.9448365446239139,-0.32754221703948766,-0.0,4.3448010123771095,walls
B1001,srf121,east,0,363875.0424457745,10143638.749390475,5.15388736053508,0.9448365446239139,-0.32754221703948766,-0.0,2.339746950616364,walls
B1001,srf122,east,0,363873.93534101214,10143635.555808138,4.346112639464906,0.9448365446239139,-0.32754221703948766,-0.0,2.339746950673182,walls
B1001,srf123,east,0,363871.8794990783,10143629.625474617,5.153887360535087,0.9448365446239139,-0.32754221703948766,-0.0,2.339746949194767,walls
B1001,srf124,east,0,363873.46097242733,10143634.187432546,4.346112639464906,0.9448365446239139,-0.32754221703948766,-0.0,4.3448010118951945,walls
B1001,srf125,east,0,363871.87949907896,10143629.625474617,5.5,0.9448365446239139,-0.32754221703948766,-0.0,4.344801009794478,walls
B1001,srf126,east,0,363873.46097242634,10143634.187432546,6.653887360535087,0.9448365446239139,-0.32754221703948766,-0.0,4.344801011895209,walls
B1001,srf127,east,0,363872.9866038416,10143632.819056954,6.653887360535094,0.9448365446239139,-0.32754221703948766,-0.0,2.339746950686377,walls
B1001,srf128,east,0,363902.8802219122,10143613.988166211,5.5,0.9448794608314348,-0.3274183936477869,-0.0,9.976797744082264,walls
B1001,srf129,east,0,363902.8802219116,10143613.988166211,5.15388736053508,0.9448794608314348,-0.3274183936477869,-0.0,5.372670009933071,walls
B1001,srf130,east,0,363898.1612565847,10143600.369953241,4.346112639464913,0.9448794608314348,-0.3274183936477869,-0.0,5.372670008649872,walls
B1001,srf131,east,0,363895.62001598394,10143593.03632112,5.153887360535088,0.9448794608314348,-0.3274183936477869,-0.0,5.372670008511405,walls
B1001,srf132,east,0,363899.2501189492,10143603.512243666,4.346112639464906,0.9448794608314348,-0.3274183936477869,-0.0,9.976797742176723,walls
B1001,srf133,east,0,363895.62001598533,10143593.036321118,5.5,0.9448794608314348,-0.3274183936477869,-0.0,9.97679774144229,walls
