Name,type_win,G_win,type_roof,r_roof,type_wall,r_wall
B1000,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1001,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1002,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1003,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1004,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1005,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1006,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1007,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1008,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1009,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1010,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1011,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1012,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1013,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1014,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1015,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1016,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1017,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1018,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1019,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1020,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1021,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1022,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1023,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1024,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1025,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1026,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1027,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1028,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1029,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1030,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1031,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1032,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1033,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1034,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1035,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1036,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1037,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1038,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1039,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1040,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1041,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1042,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1043,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1044,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1045,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1046,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1047,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1048,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1049,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1050,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1051,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1052,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1053,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1054,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1055,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1056,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1057,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1058,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1059,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1060,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1061,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1062,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1063,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1064,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1065,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1066,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1067,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1068,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1069,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1070,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1071,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1072,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1073,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1074,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1075,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1076,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1077,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1078,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1079,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1080,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1081,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1082,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1083,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1084,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1085,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1086,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1087,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1088,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1089,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1090,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1091,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1092,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1093,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1094,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1095,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1096,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1097,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1098,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1099,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1100,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1101,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1102,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1103,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1104,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1105,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1106,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1107,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1108,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1109,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1110,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1111,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1112,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1113,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1114,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1115,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1116,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1117,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1118,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1119,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1120,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1121,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1122,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1123,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1124,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1125,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1126,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1127,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1128,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1129,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1130,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1131,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1132,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1133,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1134,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1135,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1136,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1137,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1138,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1139,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1140,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1141,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1142,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1143,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1144,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1145,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1146,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1147,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1148,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1149,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1150,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1151,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1152,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1153,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1154,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1155,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1156,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1157,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1158,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1159,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1160,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1161,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1162,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1163,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1164,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1165,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1166,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1167,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1168,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1169,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1170,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1171,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1172,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1173,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1174,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1175,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1176,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1177,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1178,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
B1179,WINDOW_AS8,0.85,ROOF_AS7,0.4,WALL_AS3,0.7
